lon,lat,val
124.883,24.197,29.882
124.903,24.197,240.834
124.923,24.197,200.788
124.943,24.197,200.761
124.963,24.197,186.958
124.983,24.196,179.704
125.004,24.196,179.698
125.024,24.196,96.495
125.044,24.196,96.495
125.064,24.196,173.208
125.084,24.196,209.891
125.104,24.196,163.905
125.124,24.196,165.569
125.265,24.195,29.879
119.644,24.265,209.784
119.664,24.264,209.814
119.685,24.264,217.972
119.705,24.264,209.784
119.725,24.263,179.203
119.746,24.263,179.224
119.766,24.263,198.4
119.787,24.263,200.426
119.807,24.262,202.881
119.827,24.262,209.833
119.848,24.262,213.478
124.199,24.222,179.618
124.219,24.222,312.114
124.239,24.221,330.444
124.259,24.221,150.462
124.279,24.221,179.619
124.3,24.221,179.666
124.882,24.218,233.444
124.903,24.218,239.041
124.923,24.218,226.462
124.943,24.218,221.062
124.963,24.217,330.461
124.983,24.217,20.768
125.003,24.217,49.535
125.023,24.217,49.528
125.043,24.217,17.956
125.063,24.217,172.494
125.083,24.217,192.668
125.103,24.217,209.895
125.224,24.216,232.926
125.244,24.216,209.887
125.264,24.216,204.584
119.397,24.289,266.94
119.417,24.288,266.961
119.642,24.286,209.847
119.663,24.285,200.37
119.683,24.285,209.865
119.703,24.285,230.432
119.724,24.284,150.925
119.744,24.284,133.298
119.765,24.284,187.322
119.785,24.284,188.481
119.805,24.283,179.213
119.826,24.283,187.336
119.846,24.283,188.491
124.279,24.242,271.978
124.882,24.239,237.743
124.902,24.239,240.851
124.922,24.239,222.968
124.942,24.239,114.856
124.962,24.238,153.146
124.982,24.238,160.972
125.002,24.238,170.474
125.022,24.238,166.914
125.043,24.238,163.883
125.063,24.238,155.435
125.223,24.237,236.662
125.243,24.237,321.14
125.263,24.237,209.875
130.136,24.233,20.917
119.314,24.311,195.285
119.334,24.311,195.274
119.354,24.31,195.262
119.375,24.31,249.572
119.395,24.31,266.985
119.416,24.309,266.963
119.436,24.309,254.218
119.702,24.306,230.437
119.722,24.305,179.202
119.743,24.305,150.973
