lon,lat,val
119.714,24.411,0.257
119.734,24.41,0.072
119.755,24.41,0.108
119.775,24.41,0.072
119.796,24.409,0.112
119.816,24.409,0.08
119.837,24.409,0.08
119.857,24.409,0.08
124.777,24.365,0.184
124.798,24.365,0.139
124.818,24.365,0.241
124.838,24.365,0.306
124.858,24.365,0.334
119.119,24.439,0.21
119.139,24.439,0.31
119.16,24.439,0.21
119.18,24.439,0.239
119.201,24.438,0.086
119.221,24.438,0.122
119.242,24.438,0.446
119.262,24.437,0.409
119.283,24.437,0.187
119.324,24.437,0.041
119.344,24.436,0.041
119.365,24.436,0.124
119.385,24.436,0.122
119.406,24.436,0.21
119.528,24.434,0.506
119.549,24.434,0.444
119.569,24.433,0.232
119.59,24.433,0.519
119.61,24.433,0.566
119.631,24.433,0.052
119.651,24.432,0.052
119.671,24.432,0.144
119.692,24.432,0.337
119.712,24.432,0.315
119.733,24.431,0.086
119.753,24.431,0.086
119.774,24.431,0.072
119.794,24.431,0.112
119.814,24.43,0.036
119.855,24.43,0.086
124.716,24.386,0.265
124.737,24.386,0.487
124.757,24.386,0.529
124.777,24.386,0.289
124.797,24.386,0.139
124.817,24.386,0.184
124.837,24.386,0.258
124.857,24.386,0.292
125.099,24.384,0.191
125.119,24.384,0.161
130.902,24.383,0.115
130.982,24.383,0.355
131.002,24.383,0.355
131.022,24.383,0.355
131.042,24.383,0.361
131.063,24.383,0.053
131.083,24.383,0.452
118.953,24.463,0.382
118.974,24.462,0.244
118.994,24.462,0.245
119.117,24.46,0.335
119.138,24.46,0.338
119.158,24.46,0.43
119.179,24.46,0.159
119.199,24.459,0.37
119.22,24.459,0.37
119.24,24.459,0.367
119.261,24.458,0.284
119.281,24.458,0.172
119.302,24.458,0.284
119.322,24.458,0.086
119.363,24.457,0.086
119.527,24.455,0.478
119.547,24.455,0.445
119.568,24.454,0.18
119.588,24.454,0.191
119.608,24.454,0.181
119.752,24.452,0.086
119.772,24.452,0.085
119.792,24.452,0.072
119.813,24.451,0.036
119.833,24.451,0.222
119.854,24.451,0.239
124.716,24.407,0.341
124.736,24.407,0.367
124.756,24.407,0.525
124.776,24.407,0.414
124.796,24.407,0.106
124.816,24.407,0.192
124.836,24.407,0.371
124.857,24.407,0.305
130.963,24.404,0.279
118.951,24.484,0.296
118.992,24.483,0.146
119.013,24.483,0.057
119.054,24.482,0.49
